fecha;Spain;Italy;Germany;France;Portugal
2020-01-01;0,0;0,0;0,0;0,0;0,0
2020-01-02;0,0;0,0;0,0;0,0;0,0
2020-01-03;0,0;0,0;0,0;0,0;0,0
2020-01-04;0,0;0,0;0,0;0,0;0,0
2020-01-05;0,0;0,0;0,0;0,0;0,0
2020-01-06;0,0;0,0;0,0;0,0;0,0
2020-01-07;0,0;0,0;0,0;0,0;0,0
2020-01-08;0,0;0,0;0,0;0,0;0,0
2020-01-09;0,0;0,0;0,0;0,0;0,0
2020-01-10;0,0;0,0;0,0;0,0;0,0
2020-01-11;0,0;0,0;0,0;0,0;0,0
2020-01-12;0,0;0,0;0,0;0,0;0,0
